FIRSTNAME,LASTNAME,BIRTHDAY,UNIVERSITY,,,
Josie,Talley,6/20/1997,Ateneo De Manila University,,,
Blaise,White,8/4/1992,Ateneo De Manila University,,,
Maleah,Haney,4/26/1992,Ateneo De Manila University,,,
Bentley,Walter,8/1/1995,Ateneo De Manila University,,,
Jakayla,Swanson,11/24/1992,Ateneo De Manila University,,,
Lola,Perez,4/8/1995,Ateneo De Manila University,,,
Corban,Sherman,5/18/1994,Ateneo De Manila University,,,
Ruth,Odonnell,8/4/1995,Ateneo De Manila University,,,
London,Stark,6/27/1997,Ateneo De Manila University,,,
Joey,Wood,3/8/1995,Ateneo De Manila University,,,
Jaron,Kirby,1/3/1995,Ateneo De Manila University,,,
Maurice,Ferrell,3/9/1997,Ateneo De Manila University,,,
Pearl,Robles,1/28/1998,Ateneo De Manila University,,,
Harvey,Love,10/13/1995,Ateneo De Manila University,,,
Fabian,Calderon,8/11/1996,Ateneo De Manila University,,,
Danna,Weaver,11/20/1993,Ateneo De Manila University,,,
Jasmine,Juarez,11/26/1996,Ateneo De Manila University,,,
Mattie,Mullins,1/10/1994,Ateneo De Manila University,,,
Jayden,Burton,7/1/1994,Ateneo De Manila University,,,
Leonardo,Knight,11/19/1998,Ateneo De Manila University,,,
Soren,Riley,4/1/1998,Ateneo De Manila University,,,
Maxwell,Holloway,10/28/1998,Ateneo De Manila University,,,
Esmeralda,Rose,1/28/1997,Ateneo De Manila University,,,
Wendy,Hickman,10/10/1998,Ateneo De Manila University,,,
James,Avery,9/25/1996,Ateneo De Manila University,,,
Madilyn,Chavez,7/21/1994,Ateneo De Manila University,,,
Aiyana,Blankenship,12/7/1992,Ateneo De Manila University,,,
Johan,Kelly,12/9/1996,Ateneo De Manila University,,,
Rachel,Griffith,7/17/1996,Ateneo De Manila University,,,
Bowen,Harrington,12/28/1996,Ateneo De Manila University,,,
Sidney,Edwards,5/30/1992,Ateneo De Manila University,,,
Hendrix,Hughes,12/20/1993,Ateneo De Manila University,,,
Aviana,Reeves,5/2/1995,Ateneo De Manila University,,,
Jaydon,Hartman,2/28/1998,Ateneo De Manila University,,,
Lennon,Cline,12/22/1992,Ateneo De Manila University,,,
Kyndall,Powers,8/25/1997,Ateneo De Manila University,,,
Darwin,Patterson,10/4/1993,Ateneo De Manila University,,,
Maya,Waller,12/9/1995,Ateneo De Manila University,,,
Maddison,Hernandez,11/15/1995,Ateneo De Manila University,,,
Taliyah,Rowland,9/8/1995,Ateneo De Manila University,,,
Danielle,Justice,5/30/1993,Ateneo De Manila University,,,
Ethan,Good,8/16/1994,Ateneo De Manila University,,,
Chanel,Wallace,10/14/1992,Ateneo De Manila University,,,
Adyson,Clayton,1/25/1998,Ateneo De Manila University,,,
Aryan,Mendez,9/2/1994,Ateneo De Manila University,,,
Anna,Flynn,9/8/1995,Ateneo De Manila University,,,
Raelyn,Garza,9/14/1993,Ateneo De Manila University,,,
Desmond,Gamble,7/20/1997,Ateneo De Manila University,,,
Kason,Watts,11/8/1993,Ateneo De Manila University,,,
Elliana,Ferguson,1/4/1996,Ateneo De Manila University,,,
Otto,Higgins,8/23/1992,Ateneo De Manila University,,,
Thalia,Gonzalez,6/2/1993,Ateneo De Manila University,,,
Maia,Vaughan,1/11/1993,Ateneo De Manila University,,,
Melina,Justice,3/1/1995,Ateneo De Manila University,,,
Eden,Herrera,12/30/1996,Ateneo De Manila University,,,
April,Massey,9/9/1998,Ateneo De Manila University,,,
Laila,Hatfield,4/13/1996,Ateneo De Manila University,,,
Hudson,Skinner,6/23/1992,Ateneo De Manila University,,,
Riley,Blankenship,8/16/1993,Ateneo De Manila University,,,
Rodolfo,Hernandez,2/6/1997,Ateneo De Manila University,,,
Kason,Morris,4/9/1998,Ateneo De Manila University,,,
Lilian,Parsons,4/22/1996,Ateneo De Manila University,,,
Davon,Valencia,4/17/1994,Ateneo De Manila University,,,
Edith,Dyer,11/16/1993,Ateneo De Manila University,,,
Kaelyn,Harding,3/26/1995,Ateneo De Manila University,,,
Lewis,Frye,5/24/1995,Ateneo De Manila University,,,
Anika,Dickerson,3/28/1998,Ateneo De Manila University,,,
Jeffery,Alston,9/19/1996,Ateneo De Manila University,,,
Jordan,Lott,9/26/1994,Ateneo De Manila University,,,
Janelle,Beasley,9/10/1994,Ateneo De Manila University,,,
Carlee,Howe,7/29/1992,Ateneo De Manila University,,,
Drew,Foley,7/17/1997,Ateneo De Manila University,,,
Javion,Sampson,11/15/1993,Ateneo De Manila University,,,
Gaige,Wilkinson,6/4/1993,Ateneo De Manila University,,,
Skylar,Young,5/14/1997,Ateneo De Manila University,,,
Carlee,Davenport,3/27/1994,Ateneo De Manila University,,,
Renata,Kidd,2/15/1998,Ateneo De Manila University,,,
Silas,Terrell,2/19/1997,Ateneo De Manila University,,,
Melvin,Cannon,10/25/1995,Ateneo De Manila University,,,
Emery,Hunt,7/6/1998,Ateneo De Manila University,,,
Nathaly,Head,11/28/1992,Ateneo De Manila University,,,
Justus,Best,10/29/1997,Ateneo De Manila University,,,
Quentin,Camacho,9/5/1997,Ateneo De Manila University,,,
Elin,Wynn,3/20/1994,Ateneo De Manila University,,,
Samuel,Marks,1/20/1992,Ateneo De Manila University,,,
Sage,Case,2/17/1998,Ateneo De Manila University,,,
Julian,Warren,12/15/1996,Ateneo De Manila University,,,
Connor,Davenport,5/7/1997,Ateneo De Manila University,,,
Alfonso,Johns,4/3/1997,Ateneo De Manila University,,,
Nehemiah,Gallegos,6/14/1997,Ateneo De Manila University,,,
Alimurong,Ava Danica,1/28/1990,De La Salle University,,,
Baldemor,Deanne Cayne,3/28/1990,De La Salle University,,,
Baluca,Karl Mikhail,2/28/1992,De La Salle University,,,
Banawa,Yuri,5/9/1990,De La Salle University,,,
Banda,Veeyay Rexel,8/5/1990,De La Salle University,,,
Barin,Laurence Daryl,8/7/1990,De La Salle University,,,
Barros,Renzell David,3/7/1992,De La Salle University,,,
Camilon,Vincent Ulap,3/16/1992,De La Salle University,,,
Cañares,Raffy,10/31/1990,De La Salle University,,,
Capistrano,Neil Cydric,9/28/1990,De La Salle University,,,
Casas,Paula Andrea,4/28/1992,De La Salle University,,,
Cauyao,Bianca Marie,8/29/1992,De La Salle University,,,
Cayabyab,George Jose,9/30/1990,De La Salle University,,,
Centeno,Aztec Daniel,10/25/1992,De La Salle University,,,
Cereno Iv,Ramon Jericho,11/6/1990,De La Salle University,,,
Cobankiat,Ralph Reinier,11/6/1992,De La Salle University,,,
Dagunton,Dominique,2/16/1991,De La Salle University,,,
De Guzman,Alvin,6/24/1991,De La Salle University,,,
Dela Cruz,Kevin Michael,1/26/1993,De La Salle University,,,
Diaz,Gian Bernnice,7/21/1991,De La Salle University,,,
Divinagracia,Jonas Lanz,2/17/1993,De La Salle University,,,
Ebol,Kurt Ryu Josef,11/6/1991,De La Salle University,,,
Espiritu,Alexander Jr.,12/17/1991,De La Salle University,,,
Fernandez,Francis John,12/19/1991,De La Salle University,,,
Flores,Markus Luis,4/20/1993,De La Salle University,,,
Francisco,Antonio Jorge,3/30/1992,De La Salle University,,,
Galang,Paul Armand,4/12/1992,De La Salle University,,,
Gellada,Lorenzo,6/13/1993,De La Salle University,,,
Isidro,Reynaldo Miguel,4/16/1992,De La Salle University,,,
Isleta,Timothy Lawrence,6/10/1992,De La Salle University,,,
Jarina,Paul Jason,7/3/1993,De La Salle University,,,
King,Hannie Rachel,12/16/1993,De La Salle University,,,
Laguio,Juliano,7/10/1992,De La Salle University,,,
Laid,Ana Francesca,4/26/1994,De La Salle University,,,
Lariza,Christian Jasper,11/16/1994,De La Salle University,,,
Libed,Karmela Louise,9/14/1993,De La Salle University,,,
Limheya,Aldrich,4/22/1990,De La Salle University,,,
Lopez-Pozas,Julia Anastasha,5/13/1990,De La Salle University,,,
Magtoto,Aliana,11/22/1993,De La Salle University,,,
Malabuyo,Karl Isaac,11/26/1993,De La Salle University,,,
Mariano,Jose Gabriel,7/28/1990,De La Salle University,,,
Medina,Frances Adrianne,4/23/1994,De La Salle University,,,
Mendoza,Lourdes,9/24/1992,De La Salle University,,,
Mendoza,Ronnel,12/23/1994,De La Salle University,,,
Metharam,John Carlo,9/23/1990,De La Salle University,,,
Miguel,John Christian,1/31/1991,De La Salle University,,,
Molina,Ieko Lo,6/7/1990,De La Salle University,,,
Oblepias,Gienoe,10/7/1990,De La Salle University,,,
Oñate,Kim,12/11/1990,De La Salle University,,,
Ordones,Jan Pauline Mae,11/9/1990,De La Salle University,,,
Panaligan,Jushmel,3/17/1991,De La Salle University,,,
Parayno,Richard Lance,3/30/1991,De La Salle University,,,
Payumo,Ralitsa Edna,5/16/1991,De La Salle University,,,
Perez,Sean,7/29/1991,De La Salle University,,,
Ranario,Daniel,8/25/1991,De La Salle University,,,
Reyes,Christian Glenn,5/11/1991,De La Salle University,,,
Ricafort,Julienne Michaela,10/7/1991,De La Salle University,,,
Samontina,Timothy Pierce,11/8/1991,De La Salle University,,,
San Pedro,Elijah,1/20/1993,De La Salle University,,,
Santos,Christin,1/12/1990,De La Salle University,,,
Sayson,Rafael Santiago,2/3/1990,De La Salle University,,,
Silan,Christian Erin Faith,3/31/1990,De La Salle University,,,
Songco,Maria Geraldine,4/17/1990,De La Salle University,,,
Tan,Angel Phonzo,4/22/1990,De La Salle University,,,
Tan,Arvin Lauren,5/13/1990,De La Salle University,,,
Tan,Carl Aaron,7/14/1993,De La Salle University,,,
Tan,Cathrina Eloisa,8/28/1993,De La Salle University,,,
Tan,Elizabeth,1/31/1994,De La Salle University,,,
Tanenggee,Marc Glennrick,10/20/1991,De La Salle University,,,
Tayong,Denmark,3/19/1994,De La Salle University,,,
Tin,Darrell Dane,6/17/1994,De La Salle University,,,
Toleran Jr.,Manuel Carl,11/20/1991,De La Salle University,,,
Young,Robin,1/23/1992,De La Salle University,,,
Zamora,Abigail,6/20/1994,De La Salle University,,,
Kayson ,Riggs,2/12/1995,De La Salle University,,,
Ezra,Mclean,1/6/1986,De La Salle University,,,
Whitney,Bryan,2/5/1988,De La Salle University,,,
Brycen,Ortega,8/30/2010,Ateneo De Manila University,,,
Adele,Alexander,5/6/1988,Ateneo De Manila University,,,
Sergio,Castro,1/28/1989,Ateneo De Manila University,,,
Celeste,Nash,12/12/2000,Lyceum of the Philippines University,,,
Audrey,Hoffman,11/8/1997,Mapua Institute of Technology,,,
Bailey,Pierce,7/11/2004,Mapua Institute of Technology,,,
Miles,Farmer,4/8/2010,Mapua Institute of Technology,,,
Messiah,Terry,12/12/2006,De La Salle University,,,
Arabella,Osborne,9/27/1993,De La Salle University,,,
Natalee,Navarro,11/30/2005,De La Salle University,,,
April,Sanchez,2/15/1999,De La Salle University,,,
Jose,Hodge,11/17/2004,Ateneo De Manila University,,,
Cannon,Marquez,7/12/2000,Ateneo De Manila University,,,
Gunner,Pennington,10/23/1990,University of Santo Tomas,,,
Jordan,Wiley,9/1/2007,University of Santo Tomas,,,
Raven,Avila,1/13/2008,De La Salle University,,,
Ryan,Gentry,5/4/1993,Mapua Institute of Technology,,,
Aila,Callahan,6/23/1995,University of the Philippines,,,
Tiana,Patterson,2/17/2007,Lyceum of the Philippines University,,,
Aubri,Gutierrez,2/19/1989,University of Santo Tomas,,,
Valentina,Mack,5/21/1996,University of Santo Tomas,,,
Darwin,Winters,1/14/1988,De La Salle University,,,
Zain,Spencer,8/25/1986,De La Salle University,,,
Tatiana,Mcneil,8/3/1994,University of Santo Tomas,,,
Yehuda,Griffith,8/14/1999,University of the Philippines,,,
Cecelia,Rhodes,3/25/1992,Lyceum of the Philippines University,,,
Olivia,Hodge,6/26/1994,Lyceum of the Philippines University,,,
Leslie,Sparks,9/6/1998,University of the Philippines,,,
Hank,Lloyd,6/2/1988,Lyceum of the Philippines University,,,
Leighton,Daniel,1/7/1993,Lyceum of the Philippines University,,,
Madisyn,Barrera,11/11/1996,University of the Philippines,,,
Priscila,Snow,6/16/1989,Systems Technology Institute,,,
Kenzie,Dejesus,7/9/1985,Systems Technology Institute,,,
Braylin,Reese,5/10/1985,University of Santo Tomas,,,
Major,Gilmore,5/6/1995,University of the Philippines,,,
Amiya,Mccoy,9/7/1999,University of the Philippines,,,
Angel,Chan,4/3/2002,University of the Philippines,,,
Michael,Fuentes,9/9/2006,Lyceum of the Philippines University,,,
Lina,Carson,11/12/2009,Systems Technology Institute,,,
Emilie,Joyce,10/5/1992,De La Salle University,,,
Ruben,Dennis,4/12/1998,Ateneo De Manila University,,,
Ryder,Leach,2/25/1992,Ateneo De Manila University,,,
Rihanna,Blair,7/25/2004,Systems Technology Institute,,,
Jolene,Rice,9/2/1990,Systems Technology Institute,,,
Shelby,Stein,3/30/1997,Mapua Institute of Technology,,,
Charlee,Nicholson,11/11/2004,Lyceum of the Philippines University,,,
Breanna,Hughes,3/9/2007,De La Salle University,,,
